time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
20:15:3,1625.2051999999999,1235.4578108108105,7,3.7,40.7,57.3,42.7,37.0,60.5,39.1,0.2,0.0,0.8,0.3,1.9,4.1,26.8,0.8,5.4,0.1,1.1,1.6,0.7,3568134.4,462405.6,261462.8,267112.0,1213100.4,0.0,1114233.6,100.0,8.5,8.5,8.9,8.5,9.3
20:15:4,1581.7355999999997,1228.5819999999999,7,3.7,38.4,59.2,40.8,41.4,57.3,42.5,0.0,0.0,0.0,0.0,0.5,1.6,10.0,0.9,6.0,0.1,0.9,1.8,0.3,3567718.0,462822.0,261505.2,267036.8,1212438.8,0.0,1114376.4,100.0,9.5,9.5,10.2,8.8,9.9
20:15:5,1564.5063999999995,1224.010108108108,7,3.7,40.4,58.6,41.4,42.1,55.7,44.2,0.0,0.0,0.0,0.0,2.8,2.2,23.2,1.0,8.6,0.2,1.0,1.8,0.2,3567294.4,463245.6,261478.4,267180.0,1211969.2,0.0,1114374.0,100.0,6.7,6.7,7.8,6.7,8.0
20:16:0,1578.281,1269.2700833333333,7,3.6,41.1,56.2,43.8,41.7,55.0,44.8,0.0,0.0,0.0,0.0,40.5,2.5,196.8,0.9,7.7,0.1,0.9,1.6,0.4,3570857.6,459682.4,261653.2,267933.6,1215385.2,0.0,1114379.2,100.0,11.6,11.6,12.5,11.6,13.1
20:16:1,1672.2957999999999,1262.9934324324327,7,3.7,38.7,59.9,40.1,35.1,63.2,36.5,0.0,0.0,0.0,0.0,0.5,1.7,10.4,1.3,6.2,0.2,1.3,2.0,0.3,3567977.6,462562.4,261719.6,267228.4,1212354.4,0.0,1114536.4,100.0,5.2,5.2,6.1,5.2,6.3
20:16:2,1547.11395,1233.9808823529413,7,3.4,39.8,58.3,41.6,41.8,55.7,44.1,0.0,0.0,0.0,0.0,29.5,2.7,154.4,0.8,7.4,0.1,0.8,1.4,0.4,3568816.4,461723.6,261850.8,267094.8,1213092.8,0.0,1114534.4,100.0,11.6,11.6,12.5,11.1,12.7
20:16:3,1491.5205,1206.2544193548383,7,3.1,27.9,70.3,29.5,29.8,69.1,30.8,0.0,0.0,0.0,0.0,1.5,4.4,26.8,0.7,4.7,0.1,0.7,1.3,0.5,3566764.4,463775.6,261794.8,267126.4,1211353.6,0.0,1114537.2,100.0,5.4,5.4,5.7,5.4,5.9
20:16:4,1655.4506,1110.1407777777777,7,0.9,12.1,87.3,12.7,10.5,88.9,11.0,0.0,0.0,0.0,0.0,0.5,1.8,11.2,0.8,6.8,0.1,0.8,2.2,0.4,3565919.6,464620.4,261755.6,267084.8,1210512.8,0.0,1114665.6,100.0,3.6,3.6,4.1,2.9,3.4
20:16:5,1546.7432999999999,1117.394875,7,0.8,13.1,83.6,16.4,14.5,82.1,17.6,0.0,0.0,0.0,0.0,30.8,2.6,154.5,1.2,8.3,0.1,1.2,2.0,0.6,3566551.2,463988.8,261940.0,267046.8,1210353.6,0.0,1114671.6,100.0,9.1,9.1,9.1,9.1,9.7
20:17:0,1610.3527,1059.626125,7,0.8,14.3,83.1,16.8,14.9,82.3,17.7,0.0,0.0,0.0,0.0,3.0,3.8,29.2,0.9,10.1,0.1,0.9,2.0,0.3,3568215.2,462324.8,262038.4,267000.4,1211891.6,0.0,1114683.6,100.0,6.7,6.7,6.8,6.7,7.2
20:17:1,1705.786,845.044,6,1.1,11.4,85.8,14.1,12.3,85.8,14.2,0.0,0.0,0.0,0.0,0.5,2.3,13.2,0.9,7.8,0.1,0.9,1.6,0.2,3568548.8,461991.2,262138.0,267479.2,1212570.0,0.0,1114705.6,100.0,7.2,7.2,7.6,6.7,7.5
20:17:2,1608.2148,1110.5346666666667,6,0.9,10.8,86.2,12.4,16.2,81.2,18.7,0.0,0.0,0.0,0.0,44.4,6.6,233.6,0.6,5.9,0.2,0.6,1.0,1.5,3566138.0,464402.0,262043.2,267413.2,1210659.6,0.0,1114709.2,100.0,7.3,7.3,8.0,6.8,7.8
20:17:3,1698.5465,1094.90525,6,0.8,12.6,84.9,15.0,18.1,78.3,21.7,0.0,0.0,0.0,0.0,9.5,3.3,58.4,0.7,5.6,0.1,0.7,0.6,0.3,3569128.4,461411.6,262141.2,267644.8,1213262.0,0.0,1114711.6,100.0,9.0,9.0,9.2,9.0,9.8
20:17:4,1690.3969,1120.8980000000001,6,0.8,13.8,83.6,16.2,15.0,83.5,16.5,0.0,0.0,0.0,0.0,2.0,2.1,20.8,0.8,6.0,0.0,0.8,1.0,0.2,3566446.8,464093.2,261968.4,267274.8,1210809.6,0.0,1114722.8,100.0,6.5,6.5,6.6,6.5,7.0
20:17:5,1649.092,822.7793636363637,5,1.1,13.7,84.4,15.5,13.6,84.8,15.2,0.0,0.0,0.0,0.0,0.5,2.3,13.2,0.8,7.8,0.0,0.8,1.6,0.2,3566448.4,464091.6,262045.6,267258.0,1210681.6,0.0,1114841.2,100.0,7.6,7.6,7.9,6.9,7.6
20:18:0,1662.5045499999999,1137.253375,5,0.8,14.7,82.6,17.1,17.3,80.3,19.7,0.0,0.0,0.0,0.0,37.9,3.2,194.0,1.0,9.5,0.1,1.0,1.8,0.5,3569409.6,461130.4,262201.2,267614.0,1213578.0,0.0,1114852.4,100.0,6.2,6.2,6.7,6.2,7.1
20:18:1,1700.0186999999999,1117.329,5,0.8,15.7,82.3,17.5,17.7,79.8,20.2,0.0,0.0,0.0,0.0,2.0,2.2,18.8,0.9,8.0,0.2,0.9,1.6,0.2,3566545.2,463994.8,262218.0,267152.0,1210756.0,0.0,1114868.0,100.0,6.5,6.5,6.8,6.5,7.2
20:18:2,1579.6411999999998,1108.6464444444446,5,0.9,12.1,86.5,13.1,10.4,88.0,11.9,0.0,0.0,0.0,0.0,2.1,5.1,32.4,1.2,7.8,0.1,1.2,1.9,0.6,3565523.2,465016.8,262140.8,266861.6,1209786.4,0.0,1114869.2,100.0,5.8,5.8,6.2,5.3,5.8
20:23:4,1571.1475999999998,643.6245555555556,4,0.9,2.8,96.2,3.7,1.0,98.4,1.6,0.0,0.0,0.0,0.0,0.7,2.2,15.2,0.7,7.2,0.1,0.7,1.5,0.3,3562488.8,468051.2,261966.4,267509.6,1206909.6,0.0,1115116.8,100.0,2.4,2.4,2.6,2.4,3.3
