timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684266547515,57,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,57,0,5
1684266547616,145,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,145,0,5
1684266547717,72,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,72,0,7
1684266547863,63,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,63,0,4
1684266547927,54,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,54,0,4
1684266548029,263,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,263,0,5
1684266548130,196,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,196,0,4
1684266548293,96,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,96,0,4
1684266548327,84,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,84,0,4
1684266548411,62,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,62,0,9
1684266548512,66,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,66,0,10
1684266548614,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,60,0,7
1684266548715,61,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,61,0,8
1684266548816,67,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,67,0,4
1684266548918,91,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,91,0,3
1684266549010,54,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,54,0,4
1684266549111,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,81,0,4
1684266549213,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,4
1684266549314,59,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,59,0,4
1684266549415,99,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,99,0,4
1684266549515,143,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,143,0,5
1684266549617,69,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,69,0,4
1684266549760,89,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,89,0,4
1684266549850,56,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,56,0,5
1684266549907,71,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,71,0,3
1684266550008,56,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,56,0,4
1684266550110,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,3
1684266550211,101,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,101,0,3
1684266550312,504,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,504,0,5
1684266550414,411,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,411,0,5
1684266550817,115,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,115,0,4
1684266550826,115,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,115,0,4
1684266550933,95,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,95,0,3
1684266550941,103,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,103,0,6
1684266551029,55,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,55,0,4
1684266551119,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-52,text,true,,336,133,3,3,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266551286,67,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,3,3,http://193.225.250.30/io/1/dir_path/250,67,0,4
1684266551354,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,3,3,http://193.225.250.30/io/1/dir_path/250,60,0,5
1684266551414,59,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,3,3,http://193.225.250.30/io/1/dir_path/250,59,0,4
