time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
20:40:3,222.8261,179.36160869565214,1,2.3,41.3,57.6,42.3,0.0,9.6,0.5,0.2,908718.4,95993.6,84506.0,48127.6,700864.4,0.0,28892.0,100.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,14.8,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:40:4,210.18375,165.63082000000003,1,5.0,80.1,18.7,81.3,0.0,13.6,0.7,0.3,909443.2,95268.8,84556.8,48140.8,701508.0,0.0,28890.0,100.0,0.0,0.0,27.9,0.0,0.0,0.0,0.0,0.0,27.9,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:40:5,2462.4256,1061.2402133333335,1,7.5,97.0,1.0,99.0,0.0,2.4,0.8,0.2,909781.6,94930.4,84704.4,48499.2,701410.0,0.0,28888.8,100.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,40.4,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:0,3458.45325,1943.6666636363643,2,11.0,97.1,0.9,99.1,0.0,15.2,0.7,0.5,909529.2,95182.8,84677.2,48414.0,701174.0,0.0,28896.8,100.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,33.4,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:1,3045.9306999999985,1413.9591933333331,3,15.0,97.4,0.8,99.2,0.0,8.0,0.7,0.3,910443.2,94268.8,84724.0,48787.2,701977.2,0.0,28918.0,100.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,33.4,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:2,973.823,324.1656865671642,4,20.1,89.0,8.7,91.3,0.0,94.8,0.5,0.4,910194.4,94517.6,84662.4,48584.8,701789.6,0.0,28952.8,100.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,30.4,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:3,355.50229999999993,232.69684362139924,4,24.3,98.2,0.2,99.8,0.0,12.8,0.6,0.2,912373.6,92338.4,84678.8,49176.0,704111.2,0.0,28956.8,100.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,36.3,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:4,844.3271999999996,486.2655529411762,4,25.5,96.7,1.2,98.8,0.0,13.2,0.7,0.3,912130.0,92582.0,84734.8,49170.0,703660.8,0.0,28954.4,100.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,36.7,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:41:5,2451.8918999999996,1513.619223529412,4,25.5,96.8,1.1,98.9,0.0,70.0,0.5,0.3,912162.4,92549.6,84845.2,49180.4,703452.0,0.0,28952.8,100.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,35.9,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:0,2466.4802999999997,1709.5339705882348,5,27.2,96.8,0.9,99.1,0.0,35.2,0.5,0.3,913316.8,91395.2,84876.4,49234.0,704448.4,0.0,28965.6,100.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,32.5,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:1,2166.174799999999,1421.3731296296291,6,32.4,96.2,0.9,99.1,0.0,12.4,0.5,0.2,911265.6,93446.4,84913.6,48672.4,702333.2,0.0,28982.4,100.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,32.4,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:2,1616.55625,722.5224147727275,7,35.2,93.5,3.9,96.1,0.0,8.0,0.8,0.2,911805.6,92906.4,84954.0,49029.6,702925.2,0.0,28982.0,100.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,31.2,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:3,224.90659999999994,172.8272352941176,7,32.3,85.4,13.4,86.6,0.0,110.0,0.4,0.3,910565.6,94146.4,84898.0,48696.4,702018.8,0.0,28983.6,100.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,30.2,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:4,216.98209999999997,164.95731707317077,6,28.7,87.9,10.9,89.1,0.0,17.6,0.4,0.4,909493.2,95218.8,84834.4,48351.6,700939.6,0.0,28984.8,100.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,30.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:42:5,252.30519999999999,173.77374493927104,5,24.7,87.8,10.6,88.9,0.0,89.2,0.7,1.9,910251.2,94460.8,84892.0,48364.8,701625.2,0.0,28984.0,100.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,30.1,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:43:0,232.4153499999998,164.12931250000005,4,20.8,82.9,15.8,84.2,0.0,12.0,0.8,0.3,910508.0,94204.0,84928.0,48376.8,701655.6,0.0,28986.4,100.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:43:1,252.16139999999996,167.43947928994086,3,16.9,83.9,14.7,85.3,0.0,80.8,0.8,0.3,910054.0,94658.0,85022.0,48744.0,701130.8,0.0,29013.6,100.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,28.2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:43:2,279.22515,178.00580769230777,2,13.0,96.1,2.1,97.9,0.0,11.6,0.8,0.2,910976.0,93736.0,85049.2,48752.8,702003.2,0.0,29136.8,100.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,35.1,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:43:3,1823.9855,875.7325696202531,1,7.9,97.1,0.8,99.2,0.0,8.8,0.9,0.2,911704.4,93007.6,85149.2,49120.8,702334.8,0.0,29138.8,100.0,0.0,0.0,37.1,0.0,0.0,0.0,0.0,0.0,37.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
