time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:40:0,1595.2312,1159.0477777777778,6,0.9,11.5,86.9,12.9,11.2,87.0,13.0,0.0,0.0,0.0,0.0,35.0,3.6,176.4,1.0,8.7,0.2,1.0,1.6,0.4,3571177.6,459362.4,265156.4,269150.4,1209214.8,0.0,1132531.6,100.0,5.7,5.7,5.7,5.7,5.9
10:40:1,1611.3105,802.8637272727273,5,1.1,13.5,84.0,15.9,16.2,81.0,19.0,0.0,0.0,0.0,0.0,0.3,1.0,6.8,0.4,4.4,0.0,0.4,1.0,0.1,3576881.2,453658.8,265261.2,270072.8,1214434.4,0.0,1132556.8,100.0,8.3,8.3,8.4,8.3,8.8
10:40:2,1629.4213499999998,1085.3175,5,0.8,16.8,80.4,19.5,20.2,78.2,21.8,0.0,0.0,0.0,0.0,0.5,2.7,14.4,1.0,8.2,0.1,1.0,2.2,0.4,3573185.2,457354.8,265297.2,268946.0,1211446.4,0.0,1132557.6,100.0,12.0,12.0,11.9,11.0,11.6
10:40:3,1608.06595,1071.57025,5,0.8,16.0,81.7,18.3,16.0,81.7,18.3,0.0,0.0,0.0,0.0,2.6,2.9,27.2,0.9,7.8,0.1,0.9,1.2,0.2,3576745.2,453794.8,265354.8,269856.0,1214383.2,0.0,1132561.6,100.0,9.6,9.6,9.4,9.6,9.8
10:40:4,1603.7586000000001,1117.1070000000002,5,0.9,10.0,89.2,10.7,10.5,88.6,11.2,0.0,0.0,0.0,0.0,39.1,3.9,202.8,1.0,10.3,0.2,1.0,1.6,0.4,3574261.6,456278.4,265380.4,269242.0,1211738.8,0.0,1132568.0,100.0,3.2,3.2,3.6,3.2,3.6
10:40:5,1478.3564999999999,784.6562727272728,4,1.1,21.3,76.1,23.9,22.8,73.3,26.2,0.0,0.0,0.0,0.0,1.6,3.9,25.6,0.7,5.8,0.1,0.7,1.3,0.5,3574596.8,455943.2,265556.4,269112.8,1211581.6,0.0,1132571.2,100.0,10.1,10.1,10.1,9.4,10.0
10:41:0,1550.479,1122.254625,4,0.8,16.4,81.1,18.9,11.7,86.1,13.8,0.0,0.0,0.0,0.0,0.7,2.8,16.8,0.8,8.9,0.0,0.8,1.9,0.3,3572245.6,458294.4,265587.2,268928.8,1209669.6,0.0,1132575.2,100.0,7.5,7.5,7.5,7.5,7.9
10:41:1,1613.53335,1136.070625,4,0.8,20.3,77.6,22.4,21.2,76.2,23.7,0.0,0.0,0.0,0.0,2.1,1.3,15.2,0.2,2.7,0.0,0.2,0.5,0.2,3572104.4,458435.6,265534.4,268768.8,1209094.4,0.0,1132613.6,100.0,7.1,7.1,6.9,7.1,7.2
10:41:2,1642.8363499999998,1175.217375,4,0.8,12.2,85.7,14.1,12.3,85.6,14.1,0.0,0.0,0.0,0.0,42.3,5.2,218.0,2.1,10.5,0.2,2.1,3.1,1.0,3573748.0,456792.0,265661.2,269251.6,1210876.0,0.0,1132731.2,100.0,9.1,9.1,9.1,8.1,8.6
11:07:4,1505.5479999999998,410.3525714285714,3,0.7,3.2,95.5,4.1,1.4,98.3,1.7,1.0,15.5,71.2,0.3,0.8,4.1,21.2,1.2,11.3,0.1,1.2,2.1,0.8,3570477.6,460062.4,265550.0,269406.4,1207331.6,0.0,1133988.0,100.0,2.6,2.6,2.4,2.6,2.4
11:10:0,33.1184,12.414000000000001,3,0.3,1.5,98.2,1.8,2.7,96.7,3.1,0.0,0.0,0.0,0.0,1.8,1.8,20.0,0.4,3.5,0.2,0.4,0.8,0.3,3571160.4,459379.6,265712.4,269271.2,1205984.0,0.0,1134470.8,100.0,1.8,1.8,2.0,1.8,2.0
11:14:1,42.80254999999998,12.78775,3,0.4,4.8,93.9,6.1,1.5,97.2,2.5,0.0,0.0,0.0,0.0,1.1,2.5,16.4,1.1,4.9,0.2,1.1,1.4,0.5,3571497.2,459042.8,265803.2,268814.8,1205614.0,0.0,1134665.6,100.0,6.8,6.8,6.5,5.6,5.6
11:14:3,0.9608999999999999,0.5416666666666666,3,0.3,2.7,96.8,3.2,0.8,98.6,1.3,0.0,0.0,0.0,0.0,0.5,2.5,12.0,0.9,6.2,0.2,0.9,1.6,0.2,3575414.8,455125.2,265954.4,269443.6,1209559.2,0.0,1134660.4,100.0,3.0,3.0,2.9,3.0,3.6
11:15:1,19.82,4.634333333333333,2,0.6,3.9,94.9,5.1,1.0,98.0,1.9,0.0,0.0,0.0,0.0,0.6,1.4,9.6,0.9,4.8,0.2,0.9,1.6,0.3,3571460.4,459079.6,266042.4,268870.8,1205828.8,0.0,1134712.8,100.0,5.4,5.4,5.2,4.4,4.4
